Jason Mraz - We Sing. We Dance. We Steal Things.　　104393人评价 
Coldplay - Viva La Vida　　　　　　　　　　　　　　　　　　　　　　　　　　　85821人评价  
陈绮贞 - 华丽的冒险　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　76287人评价  
周杰伦 - 范特西　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　89755人评价  
五月天 - 後。青春期的詩　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　77422人评价  
孙燕姿 - 是时候　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　71470人评价  
Lenka - Lenka　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　72050人评价  
王若琳 - Start from Here　　　　　　　　　　　　　　　　　　　　　　　　　　　　　66496人评价  
陈绮贞 - 旅行的意义　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　69132人评价  
陈绮贞 - 太阳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　65950人评价  
Glen Hansard... - Once (Soundtrack)　　　　　　　　　　　　　　　63820人评价  
Keren Ann - Not Going Anywhere　　　　　　　　　　　　　　　　　　　　60382人评价  
Green Day - American Idiot　　　　　　　　　　　　　　　　　　　　　　　　62000人评价  
张震岳 - OK　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　55867人评价  
苏打绿 - 無與倫比的美麗　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　58670人评价  
张悬 - 亲爱的...我还不知道　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　54787人评价  
张悬 - 城市　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　53096人评价  
Damien Rice - O　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　48954人评价  
Green Day - Wake Me Up When September Ends　　　　　　　　48230人评价  
周杰伦 - 叶惠美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　58767人评价  
周杰伦 - 七里香　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　64995人评价  
Adele - 21　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　51287人评价  
张悬 - My Life Will...　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　48908人评价  
王菲 - 寓言　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　49477人评价  
苏打绿 - 你在烦恼什么　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　48302人评价  
林宥嘉 - 感官/世界　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　49594人评价  
Nirvana - Nevermind　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　46554人评价  
周杰伦 - 八度空间　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　52340人评价  
周杰伦 - Jay　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　49767人评价  
Coldplay - Parachutes　　　　　　　　　　　　　　　　　　　　　　　　　　　　　45073人评价  
孙燕姿 - 我要的幸福　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　45057人评价  
陈绮贞 - 还是会寂寞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　42928人评价  
Avril Lavigne - Let Go　　　　　　　　　　　　　　　　　　　　　　　　　　　　44808人评价  
周杰伦 - 十一月的萧邦　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　53812人评价  
方大同 - 橙月　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　43674人评价  
苏打绿 Sodagreen - 小宇宙　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　43187人评价  
蔡健雅 - 若你碰到他　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　45683人评价  
Lady & Bird - Lady & Bird　　　　　　　　　　　　　　　　　　　　　　　　　41610人评价  
万能青年旅店 - 万能青年旅店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　47406人评价  
Linkin Park - Meteora　　　　　　　　　　　　　　　　　　　　　　　　　　　　　41088人评价  
James Blunt - Back To Bedlam　　　　　　　　　　　　　　　　　　　　　　40688人评价  
苏打绿... - 苏打绿　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　43440人评价  
